"ID","N1_24h_IFN","N1_24h_mock","N1_24h_RVFV","N1_6h_IFN","N1_6h_mock","N1_6h_RVFV","N2_24h_IFN","N2_24h_mock","N2_24h_RVFV","N2_6h_IFN","N2_6h_mock","N2_6h_RVFV","N3_24h_IFN","N3_24h_mock","N3_24h_RVFV","N3_6h_IFN","N3_6h_mock","N3_6h_RVFV"
"ENSMLUG00000000002",1225,1246,2659,1369,1048,1326,1192,939,2096,1020,1003,1099,758,756,1252,921,839,963
"ENSMLUG00000000003",1107,1519,2198,1558,1029,1207,1129,1049,1111,966,925,1382,345,466,1068,1186,1112,1037
"ENSMLUG00000000004",4,2,10,1,3,0,1,2,2,2,0,0,1,2,1,0,2,0
"ENSMLUG00000000005",4652,4272,4448,4469,3319,3975,3758,3354,3054,3923,3412,3967,1719,1571,3029,3622,3289,3613
"ENSMLUG00000000006",26,12,65,1,0,4,6,16,41,3,2,2,1,2,8,2,0,2
"ENSMLUG00000000007",6131,6027,8095,5841,3275,4515,5660,4245,5365,5207,3178,3936,2701,2556,4703,5149,3645,4010
"ENSMLUG00000000008",9,6,16,10,5,6,8,3,8,11,7,7,2,4,6,6,12,6
"ENSMLUG00000000009",1612,2182,1820,1654,1063,1352,1475,1623,1161,1426,1120,1467,648,865,1172,1531,1311,1362
"ENSMLUG00000000012",14,16,21,8,5,5,13,7,7,9,3,11,4,2,7,3,4,7
"ENSMLUG00000000013",204,164,257,182,135,163,138,128,147,137,113,177,63,62,124,181,119,143
"ENSMLUG00000000014",6,3,3,3,4,2,3,2,6,4,2,5,2,0,3,2,1,1
"ENSMLUG00000000015",1302,1254,1552,1454,906,909,1205,888,979,961,784,1058,486,392,990,1050,874,817
"ENSMLUG00000000016",2391,2263,1577,2237,1145,1431,2171,1698,968,1610,1095,1427,822,742,1373,1853,1283,1238
"ENSMLUG00000000017",1593,2991,1219,2017,1781,2180,1333,1983,754,1550,1633,2026,651,1042,877,1596,1722,1731
"ENSMLUG00000000018",580,585,890,605,409,548,533,456,547,403,404,587,212,181,481,466,469,507
"ENSMLUG00000000019",3,2,5,3,1,2,2,0,4,2,1,1,0,1,2,3,4,5
"ENSMLUG00000000020",378,389,370,340,252,331,349,304,254,213,221,367,139,170,218,235,255,241
"ENSMLUG00000000021",187,210,216,196,132,181,144,161,113,140,124,188,53,58,123,127,167,157
"ENSMLUG00000000022",523,400,691,428,292,451,457,318,456,310,313,381,190,125,368,275,257,287
"ENSMLUG00000000023",281,159,430,101,68,80,269,113,285,102,74,73,56,29,156,60,36,43
"ENSMLUG00000000025",719,929,1111,499,397,515,681,655,671,463,389,542,282,351,588,498,471,474
"ENSMLUG00000000026",1346,1171,1643,1900,1111,1394,1290,964,1202,1595,1205,1448,511,522,1015,1434,1153,1260
"ENSMLUG00000000027",0,5,3,0,1,1,1,1,3,1,1,1,0,0,2,3,1,2
"ENSMLUG00000000028",18,11,16,16,11,8,9,7,12,12,14,11,7,4,4,13,13,17
"ENSMLUG00000000029",592,663,706,512,391,398,405,328,421,361,274,384,204,213,462,381,374,358
"ENSMLUG00000000030",21,42,17,21,18,13,10,14,1,6,6,6,2,4,1,4,4,10
"ENSMLUG00000000031",2576,2889,1529,2325,1543,1857,2014,2066,972,1786,1419,1857,847,924,1406,1888,1826,1726
"ENSMLUG00000000032",4513,4878,2629,3691,2545,3725,3804,3656,1851,3507,3031,3495,1553,1794,2377,3445,3115,3351
"ENSMLUG00000000033",255,352,115,239,195,182,144,178,50,151,132,157,72,94,114,170,165,188
"ENSMLUG00000000034",73,59,16,17,14,21,29,23,9,9,13,16,30,27,41,23,19,26
"ENSMLUG00000000035",14,20,23,29,17,24,16,17,14,7,23,17,4,7,13,30,15,13
