ID,meanfragmentlength
mono6_n2_ctr,200
mono6_n3_ctr,200
mono6_n5_ctr,200
mono6_n6_ctr,200
mono6_n2_atra,200
mono6_n3_atra,200
mono6_n5_atra,200
mono6_n6_atra,200
mono6_n2_vitd,200
mono6_n3_vitd,200
mono6_n5_vitd,200
mono6_n6_vitd,200
mono6_n2_asp,200
mono6_n3_asp,200
mono6_n5_asp,200
mono6_n6_asp,200
mono6_n2_asp_atra,200
mono6_n3_asp_atra,200
mono6_n5_asp_atra,200
mono6_n6_asp_atra,200
mono6_n2_asp_vitd,200
mono6_n3_asp_vitd,200
mono6_n5_asp_vitd,200
mono6_n6_asp_vitd,200
mono6_n2_can,200
mono6_n3_can,200
mono6_n5_can,200
mono6_n6_can,200
mono6_n2_can_atra,200
mono6_n3_can_atra,200
mono6_n5_can_atra,200
mono6_n6_can_atra,200
mono6_n2_can_vitd,200
mono6_n3_can_vitd,200
mono6_n5_can_vitd,200
mono6_n6_can_vitd,200
mono6_n2_eco,200
mono6_n3_eco,200
mono6_n5_eco,200
mono6_n6_eco,200
mono6_n2_eco_atra,200
mono6_n3_eco_atra,200
mono6_n5_eco_atra,200
mono6_n6_eco_atra,200
mono6_n2_eco_vitd,200
mono6_n3_eco_vitd,200
mono6_n5_eco_vitd,200
mono6_n6_eco_vitd,200
