"","mono6_n2_asp_atra","mono6_n2_asp","mono6_n2_asp_vitd","mono6_n2_atra","mono6_n2_can_atra","mono6_n2_can","mono6_n2_can_vitd","mono6_n2_ctr","mono6_n2_eco_atra","mono6_n2_eco","mono6_n2_eco_vitd","mono6_n2_vitd","mono6_n3_asp_atra","mono6_n3_asp","mono6_n3_asp_vitd","mono6_n3_atra","mono6_n3_can_atra","mono6_n3_can","mono6_n3_can_vitd","mono6_n3_ctr","mono6_n3_eco_atra","mono6_n3_eco","mono6_n3_eco_vitd","mono6_n3_vitd","mono6_n5_asp_atra","mono6_n5_asp","mono6_n5_asp_vitd","mono6_n5_atra","mono6_n5_can_atra","mono6_n5_can","mono6_n5_can_vitd","mono6_n5_ctr","mono6_n5_eco_atra","mono6_n5_eco","mono6_n5_eco_vitd","mono6_n5_vitd","mono6_n6_asp_atra","mono6_n6_asp","mono6_n6_asp_vitd","mono6_n6_atra","mono6_n6_can_atra","mono6_n6_can","mono6_n6_can_vitd","mono6_n6_ctr","mono6_n6_eco_atra","mono6_n6_eco","mono6_n6_eco_vitd","mono6_n6_vitd"
"ENSG00000125538",41400.36293378,61951.1996968666,68016.5452995376,6021.5285715835,679047.725103708,760319.82448141,703220.637883697,4848.05512632479,590841.176481035,1676552.38609765,767728.394591375,14048.7452417906,87602.9035084042,107072.04427374,110838.207970226,7851.79645113612,569835.006467691,614633.826672463,651168.709435337,4828.08341252262,611902.59293153,800201.23510592,659192.0361888,5536.39115996728,20781.2051782633,7321.58305703793,7076.17720740935,900.697851209908,699685.27532687,730930.771177329,779772.73985672,1300.59527414971,406969.18124918,1008768.17418817,463441.183805607,1858.60705469917,30072.8264197944,13242.4662396791,18268.3808535941,3826.36626098054,457667.652431876,361784.835680919,419460.654056714,2791.76523085844,683513.605499611,1327562.6082003,905827.110223012,8380.19535303416
"ENSG00000169429",112987.857310552,156235.294161537,110745.999391545,6591.35910837749,661744.418807464,505940.967624395,418951.311163334,3397.51485637799,265199.902241178,1252776.60592101,348305.890924686,11331.7300454295,76102.8531928378,102049.582577186,108919.509853124,7672.34449796268,329206.91964001,326480.084138585,248084.721422375,4297.56192892376,167442.216727495,490443.820890785,198942.930517225,7115.96255398575,70268.9889163048,61687.8734387138,49285.2818455893,1644.91588115333,420432.994859512,285111.453829158,282720.651275431,1156.28264783995,167238.805057545,1004314.00684716,241249.346688697,6091.88533586158,111905.77661213,81304.1676439079,73532.8217723197,7915.96517475482,360906.95529299,259588.693451586,248555.146242365,6084.57608601219,601425.820966936,1469475.22162289,815461.608278475,11078.5802512901
"ENSG00000232810",1472.46413520903,3547.98530222129,3428.57110472083,356.144085496241,429870.799468711,1037383.86484558,871814.424215542,761.652649948628,22592.7656151501,309186.013627263,71414.9668255057,907.838410905349,2005.53148782668,5020.7519223588,4528.55157804499,270.724929356481,172969.05775301,553186.952120768,519056.328963343,607.565367841243,23267.1703309911,113392.579977265,53563.8958801232,441.254123807821,566.977373935684,1325.22674008483,1440.18725091846,103.276682035882,300611.379517461,917362.951351072,666605.759266223,456.989983314249,6997.8315107139,144292.419344744,33078.2569699015,211.469904970991,1750.57153319201,3734.90363078971,4788.81938235964,210.380872603194,214541.639897296,316461.632128535,336714.45464169,525.756164003473,15997.8517664942,262009.065895222,71630.8305591201,519.119501873173
"ENSG00000275302",3146.04216855157,9647.44286956137,7330.83674597895,905.024970202212,295122.259475877,594351.214888335,493943.661099385,2181.59080449571,80698.4987068913,593779.784016516,302229.353023265,2426.13856947796,11672.6941947593,35415.4077792539,23773.8357305278,1546.99959632275,261645.480171816,587415.30689281,519601.636691466,3010.1180738208,144315.574968742,560590.998868936,352956.341627048,2378.56358541414,3902.94769541933,4954.02423040607,8715.97893382057,178.386996243797,370502.034133119,568823.941842572,641556.068589542,526.473840426357,95111.8826936976,364815.468220892,171339.137985232,292.953721565318,6742.71629257735,15951.3436534988,18194.4140934959,748.648032019659,218087.37286526,341737.260113225,317540.492761905,1753.92256311559,98866.0797413942,359849.569200832,254404.96704662,2167.17276239566
"ENSG00000112096",67746.9302577529,74230.6051626351,63305.6097839247,14331.3577126664,275003.428650749,284758.204682702,313985.151023301,29492.958728234,358804.532695613,538010.372791326,511752.258424007,27046.6512728675,80974.4519808414,93218.5988622251,93508.4417722206,15911.6643479776,222434.595905889,246726.015146451,251912.567827634,32363.8379701685,375780.670882544,471865.778246281,504620.448177277,16160.6856819332,68866.3897166708,83847.9546325085,95931.9098432586,4966.04360771328,271516.90404244,271281.677479237,347803.164196468,9121.09247398557,381770.138054705,461275.33872629,511966.516783184,10725.3073592283,68801.5953955038,74484.4573214414,85680.2771164517,16646.7713877874,177508.256708726,185313.432168662,204002.052352427,28300.4027959789,360772.988559126,473427.25606629,448788.447089588,24155.9001487274
"ENSG00000277632",2845.98799255816,7495.57304462451,7026.60032151407,809.255132085576,192992.637864369,386126.966456906,338103.867415672,1424.69848360926,62258.9748939488,561096.678546245,192398.381077229,2399.59675436199,11660.1708045588,33903.1125041555,15262.660491735,1676.94756241386,187392.181973767,440266.856162895,410705.821846896,2101.81122801587,116759.860278086,417810.901306949,242288.467916917,2099.73832685302,4062.25168298747,4856.35821906564,7943.25258533102,178.386996243797,237293.199099083,382347.350055631,440632.217057646,435.610334972062,62186.7177650673,305148.54316443,109521.930379183,448.160991268797,5932.83128206072,14308.0196961552,17263.8418069267,731.20181331598,181005.948714274,215676.939144779,255324.297084072,1185.05439366383,94397.7313348785,418168.152167839,262276.07711782,2693.20234083287
"ENSG00000276070",720.388689777276,2563.58142997278,1804.13776062206,237.030349338675,123240.045920661,275969.95688304,240546.64720388,547.437842150576,25252.0171417253,254377.347895412,121355.10676916,567.128171967721,4226.64419267665,14580.9543313046,10430.9334101036,697.69681794156,176933.054625625,454089.345878591,415487.065750671,1117.81214506053,75049.5262941217,414311.10716494,235517.161902754,706.26964078927,1619.83190995418,2597.41073263133,3039.44228699522,110.161794171608,290266.395117425,547481.941120176,549535.956088681,268.136422958263,46832.1840501095,297520.198104404,126866.588942308,170.242973956004,1753.2824453611,4293.33101445203,4219.62755227041,214.485865239354,86583.761649103,133477.021822289,136224.840984133,374.864144934476,31215.2600907635,143784.093151517,103458.641417493,440.517380957269
"ENSG00000136244",75.0135439983519,384.644060068159,92.2167400580085,5.98561488228976,132894.560660581,219477.890308493,200493.594728099,53.7237137017336,89579.2987785658,703714.996151767,222305.461078864,10.8333939248848,101.976177347119,957.473548959961,380.559460795447,8.50849777977512,41865.9411786515,103791.719469745,79386.8257269362,4.73076482190067,46734.2304414582,167822.568828924,74712.59848893,9.20649438645231,7.24109034400618,26.9423479559814,6.23795235914873,0,92389.5824365018,139022.783084662,139666.35646735,10.6898241710935,25115.4358797509,297595.130318359,69442.7247891417,4.36520446041037,50.1518751282263,179.134085421799,154.273528204878,0.513124079519986,40751.1337961521,54172.1714872824,62185.7849532028,12.0923917720799,99069.2427961956,430013.876352375,246906.748096046,1.7275191410089
"ENSG00000136689",88335.5614113695,74114.4996407997,85257.1348040579,1399.43675947935,295412.225449236,234052.327575442,260795.5750806,4367.26189104472,213998.757769183,304812.046621542,475459.734322374,1102.29783185703,53714.6096257878,76900.513949236,96314.4052617068,653.607329446362,189235.541207223,170316.368082652,183380.217172592,893.43872779324,273277.191967319,357983.052036908,415785.97407537,391.276011424223,49941.0759935762,46473.024378947,35876.8032495991,142.709596995038,214551.999980814,173473.981732837,188377.838730096,491.731911870303,89774.1096729299,99912.8943320857,152901.170267643,155.20726970348,67987.6440167335,64597.6014143115,61312.8085587579,602.920793435983,148469.819491191,116650.659331273,134658.688665641,1072.01681840308,68164.9212832074,72346.1136310478,80751.1258844143,489.751676476022
"ENSG00000137801",28954.5813148811,26459.2375097997,7010.04859893955,107114.37400304,170569.103396067,32776.5469977606,24774.059888125,86253.0823246288,254006.487085305,167722.011309486,117883.198635436,31967.1787935502,32643.1110855357,12028.2614588095,2825.0444652364,55750.7714522793,191933.971278382,44866.9181272613,29115.1557584332,73846.5630463234,220186.466538528,117222.472602122,68876.5488833912,10705.8377579603,16424.2411182748,40827.7605337952,8024.34596599995,22692.7036800662,105271.493422429,33941.5753867259,12574.6174821504,23109.6182205424,323993.45431208,334865.922180878,229508.211711499,4994.27892542728,11674.5432562004,6767.56800652213,2213.36724027273,66203.7818637481,76654.7795137232,15961.7283907267,5154.61782493816,40780.2768609294,380457.506490797,136025.924387134,181085.250453668,8964.09682269517
"ENSG00000197746",261948.58897921,68358.3725122612,131561.76097216,216042.389315414,230223.968360784,81197.894776532,97496.4304305126,96538.1132869708,108201.734072172,43315.2372052484,53088.6922550339,113959.720714041,305127.929596396,90486.3796993001,93386.535538261,209465.292341697,248255.566546617,82971.6229954008,113741.212598712,118864.52109153,119674.616698807,48099.3501446232,61275.4198753697,107166.882692014,418881.146002001,90736.7762255035,132138.544823848,176741.454443359,358538.446731716,103796.601786178,152890.872287067,92872.3015797798,121457.252685235,37092.6743047563,62815.0092941466,94198.2021193487,298306.741902902,72087.592798192,87675.2663031011,200276.946353366,312776.109786415,71427.3813891958,94480.5922055574,84198.7981528282,87495.1426680901,30356.8100486068,43089.1227012576,126915.648732501
"ENSG00000102265",130865.007516021,17829.676791789,57291.8172485178,51778.5615392476,422005.660243146,41198.6178057699,77646.3428260948,5036.4281477853,391293.704785564,52595.9321187258,88262.8052391782,6627.87040324454,357224.338302701,44677.2545912469,43632.8912696418,103604.109965331,937180.873743754,81557.7334690248,150451.471420093,11210.5609808126,938162.690992043,102700.640102911,209650.003884921,12595.7995341505,221709.15237085,9868.4768872518,16617.1253407273,47639.9686249399,488632.365084576,22968.5760557801,43119.8393477998,7157.72810122805,396712.679098311,16358.5621842774,34554.8526670231,5667.97548048395,144631.908317424,6781.02408805616,8328.65718706061,54008.8749898761,331070.41821597,13712.0143031371,23680.2783478186,4411.09421598914,180309.688734455,8508.28373203034,14875.2482869448,7030.13914433571
"ENSG00000197632",76530.6282588703,44365.8431136023,24781.8695803752,5427.15701377213,240254.086693138,123717.418248547,97045.6964424828,265.898380473137,155432.548222623,219138.765965038,94704.9199472158,192.83441186295,101619.260726404,48443.8871418876,39538.9619170178,7786.82246809056,174315.174705844,76201.7670901904,48468.2339526177,339.939243630862,134374.389936142,196272.306632829,104121.078849763,119.68442702388,16354.002541938,1597.17606476552,194.156267178504,657.841168604318,114491.646798707,38208.4211247432,28404.447588206,128.277890053123,120686.655145909,165645.643528066,59318.9333542383,32.9815448119894,43186.8640377833,9468.87637447901,5424.93351920442,3920.26796753269,144000.460278074,38775.3003659259,40692.3141674791,178.231339597177,261469.612730263,226799.354698048,165117.741925891,78.6021209159048
"ENSG00000087086",158947.879716163,188245.515301172,245841.947221996,45813.8963090458,71417.2670653753,120872.504698015,140793.581478033,45863.0503260584,63520.1687396453,55948.7740622094,55925.5562221956,54990.3075627154,157306.304308775,215522.166548304,274031.433236347,60091.6523195609,70693.6011236956,123683.998708943,143367.817108686,78323.2182149335,59338.1896273184,55714.1219648571,50047.3813994213,86531.8407382653,215296.442762198,265443.589597691,338997.622237713,34332.9246244377,97787.6176776939,174457.698965177,193511.806759433,44631.7975516774,88086.8536227722,84646.3770364336,96829.4907698827,46449.170617791,146438.053550083,198193.783909659,223841.027190598,33275.5834327916,78619.8098473679,131106.564288912,146961.209084507,45307.0374329993,50051.2006289038,88728.7006782891,74874.9833085604,55833.4186374075
"ENSG00000113302",7.11335331018854,8.54764577929242,3.94088632726532,2.39424595291591,101092.95569639,251585.83073445,140474.80579571,3.40023504441352,3733.69658781765,115946.530979897,23549.9712056568,0.541669696244242,63.511478874083,147.895467830423,75.2638487924143,1.54699959632275,44493.1153466685,189239.559797826,94853.2498196919,0,2856.60666669151,20338.5678863586,5839.77078488341,2.6304269675578,4.34465420640371,0,2.33923213468078,0,100331.466300654,331943.499946662,147746.606572804,0.890818680924462,2021.68530905467,88733.2536893653,15154.2702226291,2.42511358911687,18.9763851836532,56.3473414237582,31.7000400420983,0.513124079519986,28871.0687033128,92066.183484535,41142.9458142825,2.10302465601389,3287.77285026138,71112.4220091289,17288.1645799911,0
"ENSG00000140105",30368.8452866431,7285.4434192169,13739.5060913778,20315.1769104915,297673.359075688,180122.017444521,208636.46006448,7116.69194795749,114640.729832047,133671.486190654,146558.526303503,4326.31586390276,21859.5775950136,5889.31721320105,6506.61273081464,17023.1835579355,108432.896085604,46279.2791244197,66928.5043958549,4271.20481063032,60802.8365569325,25972.748809507,31981.0556811064,2382.50922586548,31735.5266506759,4438.75182574793,3249.1934350716,11960.0656990403,162321.769274575,54443.0863293459,45623.3209720896,2350.87049895966,36411.4892209264,22349.4541098403,23153.0205308664,1856.18194111005,27010.1733967612,4413.59474316244,5427.75130054149,17478.5455206893,99402.9500717441,22835.7776663783,33592.7922718282,3894.27590677372,44614.1113147375,18964.2009968123,19130.8682010812,3157.90498976426
"ENSG00000122862",63023.6636597877,35571.0279105254,75630.3376838142,55851.7724666458,166508.077354672,74851.3210872012,209824.084815835,16291.206144794,170690.94719353,90631.5087847916,174492.135719286,53548.9245010095,66001.8444682442,37827.0442806968,80447.5138712158,66014.3402740825,178925.121830854,81721.2860953191,235868.759081571,18591.2299265236,176675.913086071,70829.8816585857,178441.713114389,66576.106548888,68861.32095343,32932.8106343191,92079.1945174394,36353.3920766306,195179.525569594,76865.3995427882,229749.360014864,11491.5609839256,124424.808699423,56008.75893911,128965.239848004,31141.8536432854,84426.6154101154,39055.4356474315,66691.9531312349,53592.2182373059,147699.614384076,71957.5422660984,170801.83488947,19028.6928437777,128690.168426414,76009.1115948935,161990.117651647,51632.0920864739
"ENSG00000198804",140949.80250442,149431.36812122,161916.831996554,141967.412339637,233406.081995883,277597.739623261,247254.280631007,156627.747038855,244401.715698555,392726.474805947,326877.733955338,172819.716586725,163539.374517149,133218.766144222,137794.326434202,124070.141124883,244373.668866752,232966.19512868,271627.402455835,159872.818038403,226349.129012429,256061.394338596,227210.249212363,151604.000668452,187175.66841125,185615.938449239,175732.474885759,122392.257001797,228144.573439187,312190.324686431,253479.802833772,292622.356040834,184250.375311314,241679.729547456,205696.692333576,137552.927797427,151460.018343328,133334.62991053,142105.643946052,141926.528526671,181893.931664731,165707.194713154,200366.588453369,161157.933927329,171053.381749846,217539.052153274,175341.173483035,146410.702238786
"ENSG00000276085",254.140713718554,851.203058854536,766.108302020378,125.099351039856,43053.1861791395,88975.078979809,96448.1773728249,214.214807798052,9233.83202036849,122206.471578827,38657.6885959939,382.960475244679,1457.18590261805,5934.62622935719,2780.52218848595,407.634393631045,66144.0666122182,170706.143033167,176449.819281507,529.169836506889,32573.553882104,158322.234462727,83468.5334869104,476.107281127962,480.08428980761,710.604427339008,1143.10476981401,83.8731841988379,96473.5843073759,165351.097678886,217866.975797199,143.421807628838,14206.1922838057,121530.223859676,36012.5982063091,147.931928936129,502.196479324537,1338.88011263617,1418.0484578832,106.216684460637,33469.0537190256,45752.0509632812,63511.4160859772,144.057188936952,14231.3242290138,83373.184424496,54022.6011005923,303.179609247061
"ENSG00000026751",10041.4682000552,17589.6304061539,10934.3832036304,4711.8760353385,93450.1737975459,195200.504011721,140529.664866621,5961.29207986578,55741.9539570077,234562.194078997,179959.182612524,1836.80193996422,11018.7943207177,17346.5140910237,12213.944588538,2154.97043767759,55087.0092942319,110069.388966855,75450.2741863328,3028.36530956241,41505.598391653,112479.80765727,78335.786777512,572.117865443822,12403.9877592826,21671.7511370925,12330.0925819024,2150.65866348662,74699.1630331163,138574.22579136,104108.45041705,1224.87568627114,39358.8988942168,101207.624717475,81651.3436806619,333.695629862481,12894.4537322924,21481.7931639859,16164.202640133,7769.72481209163,51805.204277136,81843.2384079249,69019.9041611658,5680.26959589352,47083.0379502202,104511.576520431,84352.6326244538,2385.70393373329
"ENSG00000028137",4396.05234569652,6548.20897075293,11751.7230279052,9518.92334730541,43359.6787105655,22252.2941081183,19790.7805007297,14206.1820155597,117259.050118194,138244.350599802,169626.797340823,6542.82826093419,7999.76275452006,16622.4247196228,21588.0039529228,11293.0970531561,41748.21403433,29425.715970017,26814.5274022001,12996.7626128531,144372.513269562,171071.037989674,178302.789085521,6138.10132879613,4470.64917838942,5966.88812387625,12022.0936841694,8402.34048272537,32014.4214454119,29977.8389087864,26960.4833241046,10610.5413084913,123851.645300892,127163.652272764,165450.348677392,5577.7612549688,3388.64021136664,5948.42904313794,11613.4857807563,6801.45967403741,12924.5685982624,16883.2645746622,18314.1677561292,8784.85974433403,69733.2409623449,66468.943821073,85017.6217895689,6265.71192443927
"ENSG00000226608",80323.985578649,100580.147884934,126820.87472046,25411.9279827612,40210.6181916,59648.3046928806,78039.2523880287,25545.9658886788,40115.1738222464,37465.5225008866,32432.2556245785,37931.5038188955,121676.364660414,148711.030121233,194606.871676183,29101.3829062254,51171.032704169,76646.5690925423,100286.724535536,53736.7576119697,43655.9278375298,37067.3088030923,30215.9762786236,63840.4625026279,153101.993688495,184939.853905219,239921.004661399,22051.7623321586,63703.5071485678,125743.710738399,123835.38217408,30575.5695853703,54416.2740809379,56735.9699335601,59795.2140088844,26033.1093564518,99951.3316744705,134642.392834618,151178.195406101,23799.2079322165,59338.3371255956,96133.9885374191,105169.96191332,31833.4842180823,33843.991812035,52001.624939959,48573.7296004549,45320.6009047979
"ENSG00000167996",39402.1573220998,62731.884678042,60881.176515391,12976.214503316,70907.948594035,65507.1365593219,66413.5773875626,35270.6381157014,143915.520447115,156835.930211205,150820.489384603,25150.2656663164,67925.9739197675,108902.357549028,74082.9484043193,17705.4103799139,115079.832615651,122265.523594914,138290.752672661,80444.6283257829,205311.032585896,157904.609867004,202625.657675322,39496.5185246223,75830.8704095359,90402.5227211746,126699.05036667,8720.30747953888,80764.0211786489,97182.6022906357,125333.12323724,33876.0527981954,149991.522615276,105563.520302475,118483.295414225,17889.0929014795,48643.2525061259,82733.8763068987,80806.9242939798,13350.9754250305,43690.930754294,77886.4618109367,74912.6732112359,46396.4042048145,76786.9631211197,95146.5624954012,102816.957947417,32822.863679169
