"ID","shLuci_vitro_v2_1","shLuci_vitro_v2_2","shLuci_vitro_v2_3","shLuci_vivo_v2_1_NN","shLuci_vivo_v2_2_NN","shLuci_vivo_v2_3_NN","shRad21_vitro_v2_1","shRad21_vitro_v2_2","shRad21_vitro_v2_3","shRad21_vivo_v2_1_NN","shRad21_vivo_v2_2_NN","shRad21_vivo_v2_3_NN"
"ENSMUSG00000000001",3706,5873,5253,6801,5984,6510,6180,5393,7335,6262,7236,6500
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",720,812,1046,1822,1441,2050,1278,905,1227,1421,1865,1500
"ENSMUSG00000000031",4,12,7,0,0,1,6,4,7,0,0,0
"ENSMUSG00000000037",87,133,96,167,187,210,229,138,159,140,177,180
"ENSMUSG00000000049",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000056",1775,2480,3103,1769,1378,1858,3361,2685,4365,1579,2312,1752
"ENSMUSG00000000058",390,625,542,321,357,435,921,782,1137,537,568,533
"ENSMUSG00000000078",1461,2610,2665,1481,1487,1708,3219,2968,4719,1709,2001,2201
"ENSMUSG00000000085",818,1141,1377,1683,1260,1584,1557,1343,1890,1997,1943,1837
"ENSMUSG00000000088",900,1295,1462,1441,1329,1512,1676,1332,1741,1558,1487,1369
"ENSMUSG00000000093",1,2,0,0,12,5,5,1,6,2,6,4
"ENSMUSG00000000094",9,8,13,7,12,14,13,10,12,24,15,13
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000000120",0,0,0,3,0,1,1,1,0,0,0,0
"ENSMUSG00000000125",0,0,0,1,5,4,0,0,0,2,1,2
"ENSMUSG00000000126",12,10,7,0,11,4,6,2,3,0,0,7
"ENSMUSG00000000127",319,493,440,384,360,495,620,533,772,519,467,550
"ENSMUSG00000000131",2320,3172,3875,3860,3189,3812,3965,3173,4501,3587,4389,3866
"ENSMUSG00000000134",1178,1566,1750,879,777,1040,1718,1519,2086,989,994,927
"ENSMUSG00000000142",7,17,15,6,4,12,36,20,25,4,7,5
"ENSMUSG00000000148",521,681,797,2237,1774,2178,841,650,991,1783,1953,1917
"ENSMUSG00000000149",1254,1842,1677,3345,2808,2896,1511,1349,1837,2795,2686,2660
"ENSMUSG00000000154",198,229,186,208,246,265,307,255,302,327,295,402
"ENSMUSG00000000157",2,1,2,36,44,23,2,3,0,14,11,22
"ENSMUSG00000000159",3,8,7,0,3,0,6,9,9,1,0,0
"ENSMUSG00000000167",23,33,62,18,41,40,35,35,46,27,46,33
"ENSMUSG00000000168",1329,1633,1569,2000,2084,2263,1889,1387,2193,2095,2312,2039
"ENSMUSG00000000171",2873,3518,3605,5713,5087,5701,4484,3626,5050,5127,5384,4924
"ENSMUSG00000000182",2,5,2,2,2,0,5,2,2,0,1,0
"ENSMUSG00000000183",0,0,0,1,1,0,0,1,0,0,0,0
"ENSMUSG00000000184",6238,9431,8696,8247,7009,9688,12097,11146,15969,13618,8647,12006
"ENSMUSG00000000194",872,1262,1270,899,676,777,1226,1088,1535,630,677,698
"ENSMUSG00000000197",3,0,1,0,1,1,0,0,0,0,1,0
"ENSMUSG00000000202",0,0,0,0,1,2,0,1,0,0,1,5
"ENSMUSG00000000204",6,6,6,0,24,18,5,1,4,0,16,10
"ENSMUSG00000000214",0,0,0,0,1,0,0,0,0,0,3,0
"ENSMUSG00000000215",0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,2,0,0,0,0,0,1,0
"ENSMUSG00000000223",26,19,42,5,4,6,28,19,28,0,3,3
"ENSMUSG00000000244",2957,3576,4302,12711,11697,13057,6057,5692,8230,14490,13593,14324
"ENSMUSG00000000247",1,4,4,2,1,1,2,3,1,0,3,1
"ENSMUSG00000000248",0,4,2,4,3,5,0,0,0,0,0,0
"ENSMUSG00000000253",494,767,851,1673,1365,1380,811,748,1286,1595,1614,1329
"ENSMUSG00000000263",1,0,0,0,2,0,0,0,1,1,0,0
"ENSMUSG00000000266",110,181,98,8,41,35,164,126,160,92,91,83
"ENSMUSG00000000275",2491,4002,4535,2010,1592,2116,4330,3851,5376,1881,2177,1836
"ENSMUSG00000000276",431,672,692,517,533,293,862,701,858,295,304,340
"ENSMUSG00000000278",1146,1720,1754,996,731,777,1879,1406,2002,695,811,725
"ENSMUSG00000000282",1187,1492,1764,422,451,472,2116,1732,2391,453,420,432
"ENSMUSG00000000290",1519,2177,2046,1851,2102,2114,2001,2110,3349,1569,1423,1818
"ENSMUSG00000000295",475,596,504,1208,932,1153,1006,685,899,1135,1017,1099
"ENSMUSG00000000296",3,9,6,6,1,5,15,8,14,9,11,8
"ENSMUSG00000000301",73,91,120,332,296,325,122,88,124,316,253,294
