"","N1_24h_IFN","N1_24h_mock","N1_24h_RVFV","N1_6h_IFN","N1_6h_mock","N1_6h_RVFV","N2_24h_IFN","N2_24h_mock","N2_24h_RVFV","N2_6h_IFN","N2_6h_mock","N2_6h_RVFV","N3_24h_IFN","N3_24h_mock","N3_24h_RVFV","N3_6h_IFN","N3_6h_mock","N3_6h_RVFV"
"ENSMLUG00000000002",11.3468492412004,7.41293131680165,6.68466163219738,5.20649680256493,3.12881640235747,2.26182478399928,12.5231519734741,5.63333826777289,12.809630321055,8.49190664782476,6.73629776422847,6.97283935576724,4.93785820183842,5.01828810712088,8.37327847841572,14.1643428679848,9.48927940921992,7.51526277599689
"ENSMLUG00000000003",4.86293538908587,6.35394112868713,1.67116540804934,10.4129936051299,3.12881640235747,1.13091239199964,3.13078799336853,7.88667357488205,7.04529667658027,2.54757199434743,5.77396951219584,0.996119907966749,1.97514328073537,4.0146304856967,6.08965707521143,4.04695510513851,4.74463970460996,3.75763138799845
"ENSMLUG00000000005",0,0,5.01349622414804,2.60324840128246,3.12881640235747,3.39273717599892,3.13078799336853,5.63333826777289,5.76433364447476,2.54757199434743,3.84931300813056,0.996119907966749,4.93785820183842,8.02926097139341,2.28362140320429,3.03521632885388,2.37231985230498,0
"ENSMLUG00000000007",5.67342462060018,2.11798037622904,9.1914097442714,5.20649680256493,3.12881640235747,1.13091239199964,7.30517198452657,1.12666765355458,3.84288909631651,2.54757199434743,0.962328252032639,3.984479631867,0.987571640367685,2.00731524284835,5.32844994081,3.03521632885388,1.18615992615249,1.25254379599948
"ENSMLUG00000000008",0,0,0,0,1.04293880078582,1.13091239199964,0,0,0,0,0,0,0.987571640367685,0,0,0,0,0
"ENSMLUG00000000009",1.62097846302862,1.05899018811452,1.67116540804934,0.867749467094155,1.04293880078582,1.13091239199964,1.04359599778951,1.12666765355458,3.20240758026376,2.54757199434743,2.88698475609792,0,4.93785820183842,0,2.28362140320429,5.05869388142313,0,2.50508759199896
"ENSMLUG00000000013",0,0,0,0,1.04293880078582,0,0,0,0.640481516052751,0.849190664782476,0,0,0,0,0,0,0,0
"ENSMLUG00000000015",0.810489231514312,1.05899018811452,0.835582704024672,0.867749467094155,1.04293880078582,0,0,1.12666765355458,0,0,0,0,0.987571640367685,0,1.52241426880286,1.01173877628463,0,0
"ENSMLUG00000000016",1.62097846302862,1.05899018811452,0,1.73549893418831,0,1.13091239199964,1.04359599778951,2.25333530710916,1.2809630321055,0.849190664782476,0,0,1.97514328073537,1.00365762142418,0,0,0,2.50508759199896
"ENSMLUG00000000017",4.05244615757156,0,0,1.73549893418831,1.04293880078582,3.39273717599892,4.17438399115804,2.25333530710916,0,2.54757199434743,0,0.996119907966749,1.97514328073537,1.00365762142418,3.80603567200714,8.09391021027701,1.18615992615249,1.25254379599948
"ENSMLUG00000000018",0,0,1.67116540804934,0,1.04293880078582,0,3.13078799336853,0,1.2809630321055,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02347755256925,0,0
"ENSMLUG00000000021",0,0,2.50674811207402,0,0,0,1.04359599778951,0,0.640481516052751,0.849190664782476,1.92465650406528,0,0,0,0,1.01173877628463,1.18615992615249,0
"ENSMLUG00000000022",0,0,0,0,0,0,0,0,1.2809630321055,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000023",2.43146769454294,2.11798037622904,2.50674811207402,0.867749467094155,0,0,1.04359599778951,2.25333530710916,0.640481516052751,1.69838132956495,0.962328252032639,0.996119907966749,0.987571640367685,1.00365762142418,0,2.02347755256925,0,0
"ENSMLUG00000000025",0.810489231514312,0,1.67116540804934,0,0,0,1.04359599778951,0,0,0,0,2.98835972390025,0,5.01828810712088,0,0,1.18615992615249,0
"ENSMLUG00000000026",1.62097846302862,1.05899018811452,3.34233081609869,1.73549893418831,1.04293880078582,1.13091239199964,2.08719199557902,0,0.640481516052751,0,0.962328252032639,0.996119907966749,2.96271492110305,0,1.52241426880286,0,0,3.75763138799845
"ENSMLUG00000000029",0,0,0.835582704024672,0,1.04293880078582,0,0,1.12666765355458,1.2809630321055,0,0,3.984479631867,0.987571640367685,0,0.761207134401429,2.02347755256925,0,2.50508759199896
"ENSMLUG00000000031",0,1.05899018811452,1.67116540804934,3.47099786837662,0,2.26182478399928,3.13078799336853,3.38000296066373,1.2809630321055,0,0.962328252032639,0,0.987571640367685,1.00365762142418,0.761207134401429,0,0,0
"ENSMLUG00000000032",2.43146769454294,1.05899018811452,0.835582704024672,1.73549893418831,3.12881640235747,1.13091239199964,0,2.25333530710916,0.640481516052751,2.54757199434743,0.962328252032639,0.996119907966749,2.96271492110305,2.00731524284835,0,2.02347755256925,2.37231985230498,0
"ENSMLUG00000000033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25254379599948
"ENSMLUG00000000034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52241426880286,0,0,2.50508759199896
"ENSMLUG00000000035",0,0,0.835582704024672,0,0,0,0,0,0,0,0,0.996119907966749,0,0,0,0,0,0
"ENSMLUG00000000036",0,0,0,0,1.04293880078582,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01173877628463,0,0
"ENSMLUG00000000038",0,0,0,0,0,0,0,0,0,0.849190664782476,0,0,0.987571640367685,0,0,0,0,0
"ENSMLUG00000000040",0,1.05899018811452,0.835582704024672,0,0,0,0,0,0.640481516052751,0,0,0,0,1.00365762142418,2.28362140320429,0,0,0
"ENSMLUG00000000041",0,2.11798037622904,0.835582704024672,0.867749467094155,0,2.26182478399928,2.08719199557902,0,0.640481516052751,0,0.962328252032639,0,0,1.00365762142418,1.52241426880286,4.04695510513851,2.37231985230498,1.25254379599948
"ENSMLUG00000000043",0,0,0,0,0,0,1.04359599778951,0,0,0,0,0,0,0,0.761207134401429,0,0,0
"ENSMLUG00000000044",0,0,0,0,0,1.13091239199964,0,0,0,0,0,0,0,0,0,0,4.74463970460996,0
