"ID","N1_24h_IFN","N1_24h_mock","N1_24h_RVFV","N1_6h_IFN","N1_6h_mock","N1_6h_RVFV","N2_24h_IFN","N2_24h_mock","N2_24h_RVFV","N2_6h_IFN","N2_6h_mock","N2_6h_RVFV","N3_24h_IFN","N3_24h_mock","N3_24h_RVFV","N3_6h_IFN","N3_6h_mock","N3_6h_RVFV"
"ENSMLUG00000000002",14,7,8,6,3,2,12,5,20,10,7,7,5,5,11,14,8,6
"ENSMLUG00000000003",6,6,2,12,3,1,3,7,11,3,6,1,2,4,8,4,4,3
"ENSMLUG00000000004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000005",0,0,6,3,3,3,3,5,9,3,4,1,5,8,3,3,2,0
"ENSMLUG00000000006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000007",7,2,11,6,3,1,7,1,6,3,1,4,1,2,7,3,1,1
"ENSMLUG00000000008",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMLUG00000000009",2,1,2,1,1,1,1,1,5,3,3,0,5,0,3,5,0,2
"ENSMLUG00000000012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000013",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"ENSMLUG00000000014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000015",1,1,1,1,1,0,0,1,0,0,0,0,1,0,2,1,0,0
"ENSMLUG00000000016",2,1,0,2,0,1,1,2,2,1,0,0,2,1,0,0,0,2
"ENSMLUG00000000017",5,0,0,2,1,3,4,2,0,3,0,1,2,1,5,8,1,1
"ENSMLUG00000000018",0,0,2,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSMLUG00000000021",0,0,3,0,0,0,1,0,1,1,2,0,0,0,0,1,1,0
"ENSMLUG00000000022",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000023",3,2,3,1,0,0,1,2,1,2,1,1,1,1,0,2,0,0
"ENSMLUG00000000025",1,0,2,0,0,0,1,0,0,0,0,3,0,5,0,0,1,0
"ENSMLUG00000000026",2,1,4,2,1,1,2,0,1,0,1,1,3,0,2,0,0,3
"ENSMLUG00000000027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000029",0,0,1,0,1,0,0,1,2,0,0,4,1,0,1,2,0,2
"ENSMLUG00000000030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000031",0,1,2,4,0,2,3,3,2,0,1,0,1,1,1,0,0,0
"ENSMLUG00000000032",3,1,1,2,3,1,0,2,1,3,1,1,3,2,0,2,2,0
"ENSMLUG00000000033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMLUG00000000034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"ENSMLUG00000000035",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMLUG00000000036",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMLUG00000000038",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ENSMLUG00000000039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000040",0,1,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0
"ENSMLUG00000000041",0,2,1,1,0,2,2,0,1,0,1,0,0,1,2,4,2,1
"ENSMLUG00000000042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000043",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"ENSMLUG00000000044",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
"ENSMLUG00000000045",0,2,0,0,0,1,2,0,1,0,0,1,1,4,0,0,0,0
"ENSMLUG00000000046",0,1,1,2,3,0,1,0,1,0,0,2,0,1,3,0,1,0
"ENSMLUG00000000047",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"ENSMLUG00000000048",0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"ENSMLUG00000000049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000054",3,3,9,8,5,6,5,5,11,10,4,7,3,3,21,6,3,8
"ENSMLUG00000000057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000058",5,5,13,8,3,5,3,1,14,8,1,2,4,4,15,4,8,6
"ENSMLUG00000000059",1,0,4,1,0,0,0,1,5,3,1,2,3,0,6,1,0,2
"ENSMLUG00000000060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000061",0,0,1,0,0,0,1,0,2,0,3,1,0,1,0,0,1,0
"ENSMLUG00000000062",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ENSMLUG00000000063",2,1,0,0,1,1,4,0,0,2,2,2,0,0,2,1,0,0
"ENSMLUG00000000064",0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"ENSMLUG00000000067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000068",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000072",1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"ENSMLUG00000000073",0,0,0,0,1,0,1,1,1,0,1,0,0,3,1,0,0,1
"ENSMLUG00000000074",7,4,1,1,3,0,9,5,4,4,3,1,6,1,11,1,2,4
"ENSMLUG00000000076",1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"ENSMLUG00000000077",6,1,7,2,6,0,7,4,11,1,1,1,3,3,10,4,3,1
"ENSMLUG00000000079",2,1,7,3,1,1,0,1,3,0,1,4,1,0,3,1,0,1
"ENSMLUG00000000080",6,1,17,6,3,5,2,2,12,1,1,8,3,5,8,3,7,8
"ENSMLUG00000000082",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000084",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMLUG00000000085",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMLUG00000000086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000088",3,0,4,4,0,1,2,4,7,2,0,2,5,3,3,1,0,1
"ENSMLUG00000000089",5,1,9,3,0,1,5,0,5,3,2,4,6,1,3,3,1,4
"ENSMLUG00000000090",3,0,2,0,0,0,1,0,3,1,0,1,1,1,1,0,0,0
"ENSMLUG00000000091",2,0,4,2,0,1,1,2,2,1,3,3,1,1,2,0,1,0
"ENSMLUG00000000092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000093",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000095",6,3,9,7,9,3,3,3,11,6,8,1,3,4,10,4,2,2
"ENSMLUG00000000097",0,5,4,1,0,2,0,2,3,1,0,0,1,1,2,1,1,0
"ENSMLUG00000000098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000099",1,0,0,0,2,0,1,0,5,0,0,0,0,2,0,2,2,0
"ENSMLUG00000000100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000101",3,2,4,4,3,2,11,1,5,3,2,1,2,2,5,0,0,1
"ENSMLUG00000000102",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0
"ENSMLUG00000000103",3,1,5,0,3,0,1,2,2,0,1,1,2,1,3,5,2,0
"ENSMLUG00000000106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000108",1,3,4,0,0,0,1,3,1,1,0,0,1,2,0,1,0,0
"ENSMLUG00000000109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000110",8,3,0,5,1,2,2,1,4,2,1,0,3,1,0,0,2,4
"ENSMLUG00000000111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000112",0,0,2,1,0,0,2,1,0,2,2,3,1,2,3,1,0,1
"ENSMLUG00000000113",4,1,2,0,1,1,1,1,4,3,0,0,2,1,1,4,0,4
"ENSMLUG00000000114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000116",1,3,1,0,0,0,0,1,1,0,0,0,0,1,2,0,3,0
"ENSMLUG00000000120",2,0,0,0,1,0,0,0,3,0,1,0,0,0,2,1,0,0
"ENSMLUG00000000122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000123",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMLUG00000000124",2,2,3,7,4,0,6,1,3,9,1,2,9,1,4,2,0,2
"ENSMLUG00000000125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000127",6,1,2,1,2,2,3,4,3,3,5,2,1,3,9,1,1,1
"ENSMLUG00000000128",0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1
"ENSMLUG00000000130",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
"ENSMLUG00000000131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000132",4,3,1,3,3,2,1,1,0,4,3,1,0,3,1,2,0,1
"ENSMLUG00000000133",2,0,2,1,2,1,0,1,1,0,1,0,1,1,5,0,0,1
"ENSMLUG00000000135",1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
"ENSMLUG00000000136",0,1,4,0,0,0,0,4,1,0,1,0,0,1,1,1,0,1
"ENSMLUG00000000137",5,1,6,8,0,1,3,1,12,4,3,1,6,3,8,4,1,2
"ENSMLUG00000000138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000139",3,0,1,3,0,0,0,0,0,1,0,0,0,1,0,2,0,0
"ENSMLUG00000000140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000141",0,1,1,0,0,0,1,2,2,0,0,0,2,0,2,0,0,2
"ENSMLUG00000000142",1,0,0,0,0,2,4,0,1,0,1,0,2,0,4,5,1,2
"ENSMLUG00000000143",14,5,9,16,20,8,15,5,24,14,7,15,18,4,8,13,17,17
"ENSMLUG00000000144",0,0,2,0,0,0,0,0,1,1,1,1,2,0,0,0,0,2
"ENSMLUG00000000147",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000150",1,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"ENSMLUG00000000151",6,0,5,2,1,2,0,1,5,0,0,0,5,2,5,1,0,0
"ENSMLUG00000000152",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000154",0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"ENSMLUG00000000155",0,0,1,1,1,1,1,0,3,0,2,0,1,2,1,0,0,0
"ENSMLUG00000000156",0,1,0,1,1,2,2,1,0,0,1,0,1,0,0,0,0,1
"ENSMLUG00000000157",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMLUG00000000158",15,10,20,8,2,7,10,6,15,19,2,3,4,8,18,17,4,4
"ENSMLUG00000000159",0,1,0,1,1,1,0,1,0,0,0,1,0,0,2,1,0,0
"ENSMLUG00000000160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000162",2,0,5,0,1,0,0,0,3,0,1,0,1,2,4,2,2,0
"ENSMLUG00000000163",2,1,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0
"ENSMLUG00000000164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000165",2,0,1,1,0,2,3,0,5,3,1,1,4,0,2,0,1,1
"ENSMLUG00000000166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000169",4,6,8,7,9,16,1,8,18,5,8,4,7,9,6,6,9,4
