ID,mono6_n2_ctr,mono6_n3_ctr,mono6_n5_ctr,mono6_n6_ctr,mono6_n2_atra,mono6_n3_atra,mono6_n5_atra,mono6_n6_atra
ENSG00000000003,0,0,0,105,60,155,0,51
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,49439,40076,28328,48685,54589,41924,37054,47823
ENSG00000000457,17545,8853,12026,14458,17298,11989,14834,14675
ENSG00000000460,6800,3244,4810,7308,7602,8354,5383,8056
ENSG00000000938,521460,686907,415745,618132,2504740,2108715,1941915,1905435
ENSG00000000971,272,0,0,263,359,0,501,410
ENSG00000001036,61544,49943,57012,33596,66081,67759,64032,46284
ENSG00000001084,100647,88195,92111,155519,42857,44786,47194,56905
ENSG00000001167,60048,45551,47213,53627,63029,53371,51263,49773
ENSG00000001460,952,541,1960,894,1317,1160,1001,1437
ENSG00000001461,9521,5474,16213,8728,14665,8044,19904,11956
ENSG00000001497,27202,32642,27348,21556,25140,31713,26101,20166
ENSG00000001561,7549,4055,4989,8307,10535,5105,4381,10776
ENSG00000001617,272,135,356,315,239,77,313,154
ENSG00000001626,0,0,0,53,60,0,0,154
