"","scaffold","start_position","end_position","length","exon_length","biotype","go_terms"
"ENSG00000000003","X",100627109,100639991,12883,9996,"protein_coding","membrane|integral component of membrane|protein binding|signal transducer activity|extracellular exosome|integral component of plasma membrane|positive regulation of I-kappaB kinase/NF-kappaB signaling|cell surface receptor signaling pathway|negative regulation of NIK/NF-kappaB signaling|negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway"
"ENSG00000000005","X",100584802,100599885,15084,15084,"protein_coding","membrane|integral component of membrane|protein binding|nucleus|cytoplasm|negative regulation of angiogenesis|nuclear envelope|negative regulation of endothelial cell proliferation|endothelial cell morphogenesis|tendon cell differentiation|cellular response to BMP stimulus"
"ENSG00000000419","20",50934867,50958555,23689,23689,"protein_coding","membrane|protein binding|nucleus|transferase activity|intracellular membrane-bounded organelle|endoplasmic reticulum|endoplasmic reticulum membrane|transferase activity, transferring glycosyl groups|protein glycosylation|protein N-linked glycosylation via asparagine|mannosylation|dolichyl-phosphate-mannose-protein mannosyltransferase activity|dolichyl-phosphate beta-D-mannosyltransferase activity|GPI anchor biosynthetic process|dolichol metabolic process|protein mannosylation|protein O-linked mannosylation|dolichol-phosphate-mannose synthase complex|mannose binding|alcohol binding|GDP-mannose metabolic process"
"ENSG00000000457","1",169849631,169894267,44637,44637,"protein_coding","protein binding|cytoplasm|ATP binding|cell projection|Golgi apparatus|protein kinase activity|protein phosphorylation|cell migration|lamellipodium"
"ENSG00000000460","1",169662007,169854080,192074,59351,"protein_coding",NA
"ENSG00000000938","1",27612064,27635277,23214,23214,"protein_coding","plasma membrane|membrane|protein binding|cytoplasm|cytosol|cytoskeleton|actin cytoskeleton|nucleotide binding|ATP binding|transferase activity|cell projection|kinase activity|phosphorylation|mitochondrion|extracellular exosome|integrin-mediated signaling pathway|immune system process|innate immune response|protein kinase activity|protein phosphorylation|neutrophil degranulation|protein autophosphorylation|mitochondrial inner membrane|cell differentiation|transmembrane receptor protein tyrosine kinase signaling pathway|extracellular region|positive regulation of mast cell degranulation|cell migration|regulation of cell proliferation|response to virus|protein tyrosine kinase activity|peptidyl-tyrosine phosphorylation|protein kinase binding|non-membrane spanning protein tyrosine kinase activity|peptidyl-tyrosine autophosphorylation|extrinsic component of cytoplasmic side of plasma membrane|ruffle membrane|positive regulation of phosphatidylinositol 3-kinase signaling|positive regulation of cell migration|secretory granule lumen|regulation of phagocytosis|phosphotyrosine binding|Fc-gamma receptor signaling pathway involved in phagocytosis|mitochondrial intermembrane space|defense response to Gram-positive bacterium|regulation of cell shape|positive regulation of cytokine secretion|aggresome|regulation of innate immune response|regulation of protein kinase activity|immunoglobulin receptor binding|Fc-gamma receptor I complex binding|immune response-regulating cell surface receptor signaling pathway|positive regulation of phosphatidylinositol 3-kinase activity"
"ENSG00000000971","1",196651878,196747504,95627,95627,"protein_coding","protein binding|extracellular exosome|immune system process|innate immune response|extracellular region|extracellular space|heparin binding|heparan sulfate proteoglycan binding|complement activation|complement activation, alternative pathway|regulation of complement activation|blood microparticle"
"ENSG00000001036","6",143494811,143511690,16880,16880,"protein_coding","protein binding|hydrolase activity|metabolic process|extracellular exosome|neutrophil degranulation|extracellular region|hydrolase activity, acting on glycosyl bonds|alpha-L-fucosidase activity|carbohydrate metabolic process|fucose metabolic process|response to bacterium|glycoside catabolic process|regulation of entry of bacterium into host cell|extracellular space|azurophil granule lumen"
"ENSG00000001084","6",53497341,53616970,119630,119630,"protein_coding","membrane|integral component of membrane|cytosol|nucleotide binding|ATP binding|response to oxidative stress|positive regulation of proteasomal ubiquitin-dependent protein catabolic process|glutathione metabolic process|cellular response to hepatocyte growth factor stimulus|negative regulation of transcription, DNA-templated|ligase activity|negative regulation of apoptotic process|magnesium ion binding|response to hormone|protein heterodimerization activity|cellular response to mechanical stimulus|aging|coenzyme binding|regulation of blood vessel size|cellular response to glucose stimulus|response to xenobiotic stimulus|response to heat|negative regulation of extrinsic apoptotic signaling pathway|cellular response to insulin stimulus|response to nutrient|response to arsenic-containing substance|cell redox homeostasis|cellular response to fibroblast growth factor stimulus|glutathione biosynthetic process|negative regulation of neuron apoptotic process|response to activity|L-ascorbic acid metabolic process|negative regulation of protein ubiquitination|response to interleukin-1|glutamate binding|apoptotic mitochondrial changes|response to cadmium ion|glutamate metabolic process|ADP binding|glutamate-cysteine ligase activity|sulfur amino acid metabolic process|cysteine metabolic process|response to human chorionic gonadotropin|response to nitrosative stress|regulation of mitochondrial depolarization|cellular response to follicle-stimulating hormone stimulus|cellular response to thyroxine stimulus|negative regulation of hepatic stellate cell activation|glutamate-cysteine ligase complex"
"ENSG00000001167","6",41072945,41099976,27032,27032,"protein_coding","protein binding|nucleus|nucleoplasm|regulation of transcription, DNA-templated|transcription, DNA-templated|DNA binding|transcription factor activity, sequence-specific DNA binding|transcription from RNA polymerase II promoter|transcription regulatory region DNA binding|positive regulation of transcription, DNA-templated|core promoter sequence-specific DNA binding|rhythmic process|CCAAT-binding factor complex|protein-DNA complex"
"ENSG00000001460","1",24356999,24416934,59936,58099,"protein_coding","nucleus|cytoplasm|apoptotic process"
"ENSG00000001461","1",24415794,24472976,57183,57183,"protein_coding","membrane|integral component of membrane|protein binding|magnesium ion transmembrane transporter activity|immunoglobulin production|magnesium ion transport|magnesium ion transmembrane transport"
"ENSG00000001497","X",65512582,65534775,22194,22175,"protein_coding","membrane|nucleus|cytoplasm|RNA binding|nucleoplasm|nucleolus|rRNA processing|MLL1 complex"
"ENSG00000001561","6",46129993,46146699,16707,16707,"protein_coding","plasma membrane|membrane|integral component of membrane|metal ion binding|catalytic activity|hydrolase activity|metabolic process|extracellular exosome|neutrophil degranulation|blood coagulation|ficolin-1-rich granule membrane|hemostasis|positive regulation of blood coagulation|bis(5'-adenosyl)-triphosphatase activity|purine ribonucleoside catabolic process"
"ENSG00000001617","3",50155045,50189075,34031,34031,"protein_coding","extracellular region|axon guidance|extracellular space|neural crest cell migration|branchiomotor neuron axon guidance|chemorepellent activity|facial nerve structural organization|trigeminal nerve structural organization|nerve development|ventral trunk neural crest cell migration|negative regulation of axon extension involved in axon guidance|axon extension involved in axon guidance|negative chemotaxis|sympathetic ganglion development|sympathetic neuron projection extension|sympathetic neuron projection guidance|neural crest cell migration involved in autonomic nervous system development|semaphorin-plexin signaling pathway involved in neuron projection guidance|semaphorin-plexin signaling pathway involved in axon guidance"
